2024-11-19 16:51:09 - Ch1 = 0 Ch2 = 0 Ch3 = 0 Ch4 = 0 Ch5 = 0 Ch6 = 0
2024-11-19 16:51:17 - Current1: -24.41	Current2: -24.02	Current3: -24.46	Current4: -24.07
2024-11-19 16:51:17 - Current1: -24.46	Current2: -24.07	Current3: -24.51	Current4: -23.92
2024-11-19 16:51:17 - Current1: -24.46	Current2: -24.07	Current3: -24.46	Current4: -24.07
2024-11-19 16:51:18 - Current1: -24.46	Current2: -24.07	Current3: -24.51	Current4: -24.07
2024-11-19 16:51:18 - Current1: -24.46	Current2: -24.07	Current3: -24.41	Current4: -24.07
2024-11-19 16:51:18 - Current1: -24.46	Current2: -23.97	Current3: -24.46	Current4: -24.07
2024-11-19 16:51:18 - Current1: -24.51	Current2: -24.12	Current3: -24.51	Current4: -24.07
2024-11-19 16:51:18 - Current1: -24.46	Current2: -24.07	Current3: -24.46	Current4: -24.07
2024-11-19 16:51:18 - Current1: -24.46	Current2: -24.07	Current3: -24.46	Current4: -24.07
2024-11-19 16:51:18 - Current1: -24.51	Current2: -24.12	Current3: -24.46	Current4: -24.07
2024-11-19 16:51:18 - Current1: -24.46	Current2: -24.07	Current3: -24.51	Current4: -24.07
2024-11-19 16:51:18 - Current1: -24.51	Current2: -24.07	Current3: -24.46	Current4: -24.07
2024-11-19 16:51:18 - Current1: -24.41	Current2: -24.02	Current3: -24.46	Current4: -24.07
2024-11-19 16:51:18 - Current1: -24.46	Current2: -24.07	Current3: -24.51	Current4: -23.92
2024-11-19 16:51:18 - Current1: -24.51	Current2: -24.07	Current3: -24.51	Current4: -24.07
2024-11-19 16:51:18 - Current1: -24.46	Current2: -24.07	Current3: -24.51	Current4: -24.07
2024-11-19 16:51:18 - Current1: -24.46	Current2: -24.12	Current3: -24.46	Current4: -24.12
2024-11-19 16:51:19 - Current1: -24.41	Current2: -23.97	Current3: -24.51	Current4: -24.07
2024-11-19 16:51:19 - Current1: -24.46	Current2: -24.07	Current3: -24.51	Current4: -23.97
2024-11-19 16:51:19 - Current1: -24.46	Current2: -24.07	Current3: -24.46	Current4: -24.07
2024-11-19 16:51:19 - Current1: -24.46	Current2: -24.07	Current3: -24.51	Current4: -24.07
2024-11-19 16:51:19 - Current1: -24.46	Current2: -24.07	Current3: -24.41	Current4: -24.07
2024-11-19 16:51:19 - Current1: -24.46	Current2: -24.12	Current3: -24.51	Current4: -24.07
2024-11-19 16:51:19 - Current1: -24.46	Current2: -24.12	Current3: -24.46	Current4: -24.07
2024-11-19 16:51:19 - Current1: -24.46	Current2: -24.07	Current3: -24.46	Current4: -24.07
2024-11-19 16:51:19 - Current1: -24.51	Current2: -24.07	Current3: -24.51	Current4: -24.07
2024-11-19 16:51:19 - Current1: -24.46	Current2: -24.07	Current3: -24.51	Current4: -24.07
2024-11-19 16:51:19 - Current1: -24.46	Current2: -24.12	Current3: -24.51	Current4: -24.07
2024-11-19 16:51:19 - Current1: -24.46	Current2: -24.07	Current3: -24.22	Current4: -24.07
2024-11-19 16:51:19 - Current1: -24.41	Current2: -24.02	Current3: -24.51	Current4: -24.07
2024-11-19 16:51:19 - Current1: -24.51	Current2: -24.07	Current3: -24.51	Current4: -23.92
2024-11-19 16:51:20 - Current1: -24.46	Current2: -24.07	Current3: -24.46	Current4: -24.12
2024-11-19 16:51:20 - Current1: -24.51	Current2: -24.12	Current3: -24.46	Current4: -24.12
2024-11-19 16:51:20 - Current1: -24.51	Current2: -24.12	Current3: -24.46	Current4: -24.07
2024-11-19 16:51:20 - Current1: -24.46	Current2: -23.97	Current3: -24.46	Current4: -24.07
2024-11-19 16:51:20 - Current1: -24.46	Current2: -24.12	Current3: -24.51	Current4: -24.07
2024-11-19 16:51:20 - Current1: -24.46	Current2: -24.12	Current3: -24.51	Current4: -24.07
2024-11-19 16:51:20 - Current1: -24.46	Current2: -24.07	Current3: -24.51	Current4: -24.12
2024-11-19 16:51:20 - Current1: -24.46	Current2: -24.12	Current3: -24.46	Current4: -24.07
2024-11-19 16:51:20 - Current1: -24.51	Current2: -24.12	Current3: -24.51	Current4: -24.07
2024-11-19 16:51:20 - Current1: -24.46	Current2: -24.12	Current3: -24.51	Current4: -24.07
2024-11-19 16:51:20 - Current1: -24.46	Current2: -24.02	Current3: -24.46	Current4: -24.07
2024-11-19 16:51:20 - Current1: -24.46	Current2: -24.12	Current3: -24.51	Current4: -23.92
2024-11-19 16:51:20 - Current1: -24.46	Current2: -24.12	Current3: -24.46	Current4: -24.07
2024-11-19 16:51:20 - Current1: -24.46	Current2: -24.07	Current3: -24.51	Current4: -24.07
2024-11-19 16:51:21 - Current1: -24.51	Current2: -24.12	Current3: -24.46	Current4: -24.07
2024-11-19 16:51:21 - Current1: -24.36	Current2: -24.02	Current3: -24.51	Current4: -24.07
